Latitude,Longitude,State,District,Stunting,Wasting,Underweight
23.164543,87.0624261,WB,Hugli,30.1,18.5,28.7
22.5957689,88.2636394,WB,Jalpaiguri,31.2,17.7,24.6
22.1352378,88.4016041,WB,Koch Bihar,32.9,20.1,29.3
27.0360066,88.2626751,WB,Kolkata,24.2,17.4,19.6
23.471,88.5565,WB,Maldah,37.8,22.8,37.2
21.9372879,87.7763333,WB,Murshidabad,41.9,17.5,34.6
25.1785773,88.2461183,WB,Nadia,23.3,10.7,19.3
26.5434772,88.7205256,WB,North Twenty Four Parganas,23.8,13.6,18.3
26.3356861,89.445851,WB,Paschim Medinipur,29.4,28,40.3
22.6168099,88.402895,WB,Purba Medinipur,29.9,24.5,32.8
23.0718297,88.1470926,WB,Puruliya,45.5,34.6,58.2
25.3715308,88.556531,WB,South Twenty Four Parganas,27.3,20.1,27.9
22.572646,88.363895,WB,Uttar Dinajpur,40.4,14,34.7
