Date,State,District,Latitude,Longitude,Households,Women,Men,Rural_Urban Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __
01-06-2015,RJ,Udaipur,24.585445,73.712479,906,990,130,Rural,52.7,32.6,1043,993,59.8,84.2,77.9,29.2,24.2,88.8,24.3
01-06-2015,TN,Salem,11.6643,78.146,829,988,173,Both,72.2,22.8,1000,872,100,99,93.2,46.2,76.6,88.3,78.4
01-06-2015,UP,Bara Banki,26.9268042,81.1833809,905,987,130,Rural,58.8,34.8,1022,1054,68.7,49.7,99.2,20.3,27.9,96.9,3.6
01-06-2015,PB,Jalandhar,31.3260152,75.5761829,820,986,142,Both,81.5,20,953,711,99.2,99.8,99.8,89.2,78.7,98.5,16.4
01-06-2015,WB,Barddhaman,23.2324214,87.8614793,827,986,134,Both,69.7,22.9,1013,1064,96.9,94.4,96.6,46.6,29.7,97.3,28.4
01-06-2015,JH,Garhwa,24.1084558,83.6773928,863,985,121,Rural,55.6,36.3,1013,947,58.4,49.9,86.3,10.8,5.7,93.2,9.9
01-06-2015,RJ,Bundi,25.4305144,75.6499025,917,985,164,Rural,51.1,27.7,930,987,78.7,91.1,90.8,26.6,22.8,96.8,8.7
01-06-2015,UP,Sitapur,27.5839037,80.666356,891,985,136,Rural,59.8,35.7,912,720,64.9,29.9,98.7,16.7,19,90.2,2.8
01-06-2015,AS,Dima Hasao,25.3478004,93.0175712,916,984,151,Rural,74.1,31.6,969,953,84.2,79.2,47.7,59,24.3,100,5.4
01-06-2015,UT,Tehri Garhwal,30.3011858,78.5660852,891,984,93,Rural,65.8,29.3,1161,953,79.7,98.1,77.4,65.8,35.1,97.3,37.4
01-06-2015,JK,Srinagar,34.0836708,74.7972825,818,982,231,Urban,65.1,22.1,951,1052,93.4,100,97.3,66.6,97,99.5,2.4
01-06-2015,MP,Mandla,22.5979218,80.3713855,901,982,156,Rural,63.8,29.9,1053,974,74.2,76.9,62.9,15.1,14.7,82.4,37.7
