State,District,Households,Women,Men,Rural_Urban_Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __,num
MH,Hingoli,769,872,135,Rural,67,28.2,1002,992,95.4,84.3,86,40.3,25.6,98.9,14.4,1
RJ,Chittaurgarh,887,872,145,Rural,50,27.3,968,1047,72.8,95.3,88.8,32,25.4,99,6.6,1
WB,North Twenty Four Parganas,800,872,107,Both,83.7,21.2,981,803,99.3,97,92,69,50.7,97.3,35.8,1
UP,Hamirpur,870,871,128,Rural,61.7,28.9,945,930,70.9,73.1,99.1,45.1,19.7,89.7,3.4,1
WB,Hugli,792,871,99,Both,78.5,22.7,1055,904,96.5,95.2,98.5,54.6,30.8,98.8,39.1,1
NL,Phek,916,869,123,Rural,74.8,35.2,957,958,65.8,98.4,94.1,82.7,9.8,99.5,4.3,1
TN,Thanjavur,799,868,144,Both,77.2,23.6,1059,833,95.4,97,98.6,46.9,47.3,78.5,69.5,1
WB,Dakshin Dinajpur,801,867,132,Rural,70.2,24.1,1023,902,96.2,93.1,99.4,43.9,12.6,92.1,40.7,1
GJ,Valsad,789,866,195,Both,76.5,25.6,995,1189,89.7,98.3,68.7,61.2,56.7,92.1,17.4,1
GJ,Surendranagar,795,864,240,Rural,63.3,27.2,954,998,95.8,95.6,81.9,47.7,36.5,94.1,19.6,1
PB,Fatehgarh Sahib,785,864,132,Both,79.5,21.3,927,872,99.1,100,99.5,83,69.4,97.9,40,1
KA,Mysore,781,863,113,Both,71.3,22.9,1008,886,96,97.2,95.6,63.6,66.7,86.1,33,1
KA,Shimoga,794,863,99,Both,76.3,22.7,1041,866,95.8,95.6,81.5,71.7,61.2,75,36.1,1
MH,Sangli,745,863,122,Rural,79.8,23.5,1005,913,97.4,91.6,95.8,68.8,63.2,96.2,10.3,1
GJ,Mahesena,781,862,211,Rural,74.5,25.2,920,785,96.3,96.8,92.7,66.1,54.9,95.6,30.4,1
UT,Pithoragarh,911,862,94,Rural,71.8,27.2,1069,758,88.4,97.3,83.9,62.7,36.8,94.6,20.9,1
KA,Udupi,774,860,99,Rural,80.1,19.8,1137,794,95.8,98.4,64.7,89.1,44.7,85.5,45.4,1
MH,Aurangabad,759,860,151,Both,72.6,28.6,923,1130,93.6,95.7,88.4,45.3,54.6,98.2,9.5,1
KA,Chamarajanagar,804,859,114,Rural,56.4,21.4,1068,1141,94.3,93.8,95,32.9,36.3,81.3,27,1
KA,Dakshina Kannada,769,859,114,Both,82.7,20.4,1032,1136,97.1,97.8,85.7,92,54.2,74.5,34.7,1
MH,Jalna,776,859,135,Rural,65.2,29,950,880,95.4,84,72.6,34,20.7,99.8,11.2,1
KA,Uttara Kannada,799,858,99,Rural,80.7,23.1,1056,871,97,96.7,69.4,66,48.5,88.5,24.2,1
HP,Mandi,788,856,165,Rural,75.4,25,1167,921,93.5,99.5,96,71.6,23.8,99,37.2,1
KA,Haveri,792,856,146,Rural,71.1,24.1,906,982,96.9,97.1,95.1,53.5,35.8,84.4,44.4,1
MH,Wardha,809,856,124,Both,82.4,21.1,947,1298,98.5,95.3,93.7,56.9,54.9,98.7,14.8,1
AP,Sri Potti Sriramulu Nellore,803,855,108,Rural,60.6,22.9,1039,1156,80.7,97.9,67.7,52.7,57.1,82.2,73,1
GJ,The Dangs,779,854,210,Rural,67.7,33.5,965,961,92.7,87,69.9,19.4,9.1,95.8,39,1
GJ,Dohad,760,852,146,Rural,57.9,38.4,1104,1041,87.6,78.5,72.5,21.9,15.3,93.5,23.5,1
GJ,Navsari,790,852,175,Both,78.3,21.7,1036,847,96.7,97.8,67.2,68.8,53.2,93.8,28.6,1
MN,Churachandpur,792,852,114,Rural,79.7,34.6,997,983,66.9,89,48.3,66.1,42.2,100,2,1
